age care_home_female care_home_male "residents female" residents_male
65 0.48880216496136575 0.4557397359726024 0.02 0.02
66 0.5054051546557026 0.47225717917789356 0.02 0.02
67 0.5153577222577632 0.4821933795225348 0.02 0.02
68 0.5287272641168544 0.4955823426564492 0.02 0.02
69 0.5449587861253262 0.5119015863069093 0.02 0.02
70 0.5635380928421092 0.5306682017360784 0.02 0.02
71 0.5812178690011608 0.5486129552375999 0.02 0.02
72 0.5957971584248425 0.5634748230275544 0.02 0.02
73 0.613878486900336 0.5819876008405739 0.02 0.02
74 0.6351635737314794 0.6038963410482415 0.02 0.02
75 0.6579353698931893 0.6274751151416679 0.02 0.02
76 0.6810339104520917 0.651541163313171 0.02 0.02
77 0.7036044287273198 0.675203330097252 0.02 0.02
78 0.724842761757268 0.6976021047259017 0.02 0.02
79 0.744133292373338 0.7180595657757534 0.02 0.02
80 0.7610178385014895 0.7360544085152751 0.02 0.02
81 0.7764061670063187 0.7525274482395883 0.02 0.04723406815083042
82 0.791297657591034 0.7685351596969602 0.02 0.08767410043141477
83 0.8054154953301553 0.7837720265213964 0.02 0.15460670430808998
84 0.8182291809238562 0.7976528960102041 0.02 0.21124463672297644
85 0.8292377190164202 0.809617639488484 0.02 0.21309761044490072
86 0.8390914880279619 0.8203583102397075 0.02 0.22990014138987058
87 0.848856324105938 0.8310310552857878 0.02 0.28425369469608497
88 0.8579863598937643 0.8410362075137833 0.02 0.38200552381896324
89 0.8668717588325409 0.8507977071817832 0.02 0.4811747472920228
90 0.8755653213095042 0.8603718683066813 0.17733047418769288 0.4337662674850177
91 0.8841093042683974 0.8698039440848873 0.14223775223125856 0.44159882226894986
92 0.8925366846441513 0.8791293676624746 0.08056009252776597 0.4517434018413393
93 0.900872245352829 0.8883748253225642 0.11094712198422607 0.4803346515045639
94 0.9091335394209672 0.897559216973816 0.09435020815348849 0.5107779116016126
95 0.9173317714766487 0.9066945429990297 0.13250942879819727 0.5605059459926971
96 0.9173317714766487 0.9066945429990297 0.2727843999662385 0.6391489589838117
97 0.9173317714766487 0.9066945429990297 0.38481795306874167 0.6906248174467529
98 0.9173317714766487 0.9066945429990297 0.40993275598813583 0.6895031268838558
99 0.9173317714766487 0.9066945429990297 0.48589205011071 0.6879832581195693
